name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,features_duration_ms,time_signature,n_beats,n_bars,popularity_confidence,processing,genre
Long Hot Summer Days,288760,False,32,John Hartford,Mark Twang,0.591,0.177,9,-17.299,1.0,0.0811,0.926,0.00106,0.294,0.522,70.959,288760,,341.0,86.0,0.353,1.343558282208589,bluegrass
Acalma Minha Tempestade,384850,False,56,Frei Gilson,Eu Vou Crer em Ti,0.538,0.907,10,-6.877,,0.0515,0.0567,9.07e-06,0.178,0.345,134.014,384851,4.0,852.0,214.0,,0.7573891625615764,brazil
Cloudy Daze - Ham Mix,323928,False,23,Bang!,Cloudy Daze,0.593,0.588,10,-14.42,,0.043,0.00315,0.124,0.0639,0.328,169.857,323928,4.0,900.0,225.0,0.525,0.7573891625615764,happy
La Lola,197320,False,67,Café Quijano,La Extraordinaria Paradoja Del Sonido Quijano,0.725,0.79,9,-4.393,0.0,0.102,0.0646,0.00883,0.121,0.867,151.985,197320,4.0,496.0,123.0,,1.343558282208589,spanish
Des fissures apparaissent,82746,False,25,Germaine Franco,Encanto: La fantastique famille Madrigal (Bande Originale Française du Film),0.198,0.483,1,-14.552,1.0,0.0506,0.831,0.927,0.0979,0.234,76.592,82747,3.0,101.0,32.0,,2.36741214057508,disney
The Potters Hand,256093,False,43,Hillsong Worship,Ultimate Worship Vol 1,0.301,0.456,7,-6.606,1.0,0.0259,0.34,2.46e-06,0.205,0.193,74.59,256093,,311.0,76.0,0.786,4.067085953878407,iranian
Goodbye (feat. Xillions),155492,False,53,le Shuuk;Xillions,Goodbye (feat. Xillions),0.689,0.801,1,-4.501,0.0,0.122,0.0359,0.000547,0.0743,0.514,142.062,155493,,362.0,91.0,,2.36741214057508,techno
Summer Wages,269493,False,21,J.D. Crowe & The New South,J.D. Crowe & the New South,0.585,0.184,11,-14.493,1.0,0.0313,0.696,0.000177,0.177,0.509,128.61,269493,,568.0,141.0,,0.7481162540365985,bluegrass
E.C.T. - Ao Vivo,210599,False,44,Cássia Eller,Acústico (Ao Vivo),0.666,0.896,7,-8.386,1.0,0.12,0.67,2.99e-06,0.149,0.633,130.093,210599,,455.0,114.0,,4.067085953878407,brazil
American Car,279293,False,17,Keller Williams with The Travelin' McCourys,Pick,0.593,0.584,2,-6.916,,0.0269,0.577,0.00228,0.203,0.665,96.017,279293,4.0,439.0,109.0,,3.7004830917874396,bluegrass
Blow the Man Down,117906,False,42,Mickey Mouse;The Gooey Fish,Mickey Mouse Clubhouse,0.725,0.552,2,-9.03,1.0,0.027,0.321,0.0,0.101,0.975,97.624,117907,1.0,186.0,46.0,,3.7004830917874396,disney
Beaks of Eagles,271974,False,11,Kelpe,Fourth: The Golden Eagle,0.615,0.517,10,-9.227,,0.0425,0.0907,0.729,0.183,0.644,95.08,271974,4.0,422.0,107.0,,0.7573891625615764,idm
Down 4 U - Extended Version; 2017 Remaster,507832,False,7,Romanthony,Glasgow Underground 1997-2017,0.885,0.592,5,-6.898,0.0,0.0599,0.000285,0.0934,0.0555,0.708,128.389,507832,,1087.0,273.0,,1.2793053545586106,chicago-house
For Those Tears I Died,181760,False,37,The Isaacs,The Living Years,0.422,0.117,11,-13.659,1.0,0.0315,0.901,0.0,0.0546,0.231,77.202,181760,4.0,225.0,56.0,,0.7481162540365985,bluegrass
Acending,174748,False,58,So Jao,Acending,0.205,0.0406,5,-30.85,1.0,0.0462,0.97,0.979,0.143,0.0592,87.113,174748,3.0,253.0,84.0,,1.2793053545586106,sleep
Filmes e Histórias,229053,False,46,Pablo,Um Novo Passo,0.649,0.567,1,-5.726,1.0,0.0314,0.316,0.0,0.397,0.635,131.91,229053,4.0,503.0,127.0,,2.36741214057508,forro
Dignity,314183,False,2,Kahtmayan,Resurrection 1,0.602,0.954,6,-4.389,1.0,0.043,0.000487,0.000916,0.363,0.185,119.961,314183,4.0,619.0,155.0,,1.1709531013615733,iranian
Dance Wit U,198930,False,21,CIRRRCLE,BESTY,0.763,0.623,10,-5.971,0.0,0.285,0.0653,0.0,0.0282,0.8,105.963,198930,4.0,348.0,86.0,,0.7573891625615764,j-dance
Falling Time,427973,False,6,Alphaxone,Dystopian Gate,0.106,0.233,1,-23.622,,0.0391,0.843,0.876,0.141,0.0388,82.33,427973,3.0,696.0,231.0,,2.36741214057508,iranian
Stupid MF,144986,False,53,Mindless Self Indulgence,You'll Rebel To Anything (Expanded and Remastered),0.704,0.726,0,-5.05,0.0,0.128,0.00698,0.0151,0.167,0.726,151.972,144987,4.0,364.0,90.0,,3.349056603773585,industrial
與海無關 (《比悲傷更悲傷的故事》影集版插曲),245231,False,52,告五人,運氣來得若有似無,0.654,0.227,2,-12.619,1.0,0.0298,0.906,2.14e-05,0.091,0.373,78.155,245232,4.0,313.0,78.0,,3.7004830917874396,mandopop
Het barsten begint,82746,False,18,Germaine Franco,Encanto (Originele Nederlandstalige Soundtrack),0.198,0.483,1,-14.552,1.0,0.0506,0.831,0.927,0.0979,0.234,76.592,82747,3.0,101.0,32.0,0.889,2.36741214057508,disney
Helligdom Av Døde,377217,False,11,Khold,Svartsyn,0.468,0.661,2,-13.254,,0.0406,7.77e-05,0.000738,0.0564,0.282,127.906,377218,,793.0,198.0,,3.7004830917874396,black-metal
A System Of Mirrors,459389,False,8,Robert Hood,Mirror Man,0.685,0.697,10,-12.305,0.0,0.0373,8.41e-06,0.896,0.069,0.148,129.999,459389,4.0,966.0,241.0,,0.7573891625615764,chicago-house
ラッキー7,194920,False,26,Flower,Hitomi No Oku No Milkyway,0.674,0.914,7,-3.311,,0.0467,0.016,0.0,0.0402,0.778,93.003,194920,4.0,293.0,73.0,,4.067085953878407,j-idol
Snart blir jeg majestet,171600,False,41,Eirik Espolin Johnson;Pernille Sommerfeldt;Anders Hatlo,The Lion King: Special Edition Original Soundtrack (Norwegian Version),0.629,0.753,6,-8.356,1.0,0.0753,0.261,9.5e-06,0.0898,0.843,98.887,171600,4.0,276.0,69.0,,1.1709531013615733,disney
Tell Me If Yuh Like It,186666,True,22,Vybz Kartel,Tell Me If Yuh Like It,0.65,0.739,4,-4.554,0.0,0.338,0.0423,0.0,0.075,0.331,114.966,186667,5.0,354.0,87.0,0.972,0.916010498687664,j-dance
Dull Boy,255320,False,32,Mudvayne,"By The People, For The People",0.598,0.953,2,-4.487,0.0,0.193,0.00148,2.3e-06,0.23,0.312,142.97,255320,4.0,581.0,145.0,,3.7004830917874396,industrial
Atomic Ever After,183139,False,40,Kid Travis,Strawberry Skies,0.748,0.356,6,-13.473,1.0,0.176,0.205,0.0,0.0917,0.59,137.641,183140,4.0,415.0,105.0,,1.1709531013615733,study
River of Grace,232653,False,48,Christy Nockels,Be Held : Lullabies for the Beloved,0.521,0.396,11,-10.654,1.0,0.0468,0.828,0.000766,0.1,0.398,77.046,232653,4.0,291.0,72.0,,0.7481162540365985,brazil
Dooms Day,227056,False,8,Arsames,Immortal Identity,0.456,0.992,7,-3.817,0.0,0.139,7.98e-06,0.695,0.333,0.416,165.012,227056,4.0,611.0,153.0,0.106,4.067085953878407,iranian
"Zicke Zacke, Prost ihr Säcke",170042,False,22,Jack Gelee,"Zicke Zacke, Prost ihr Säcke",0.71,0.998,8,-1.898,1.0,0.304,0.0221,0.0,0.529,0.712,140.089,170043,4.0,391.0,97.0,0.415,2.7259036144578315,happy
Sick Of It All,301383,False,24,Nosferatu;Evil Activities,Strength,0.596,0.997,6,-3.259,0.0,0.18,0.23,0.00349,0.584,0.15,169.968,301383,4.0,847.0,212.0,,1.1709531013615733,happy
Aropador,240026,False,22,Plastilina Mosh,Juan Manuel,0.783,0.506,2,-14.552,1.0,0.0651,0.952,0.918,0.0676,0.397,117.147,240027,,461.0,115.0,,3.7004830917874396,afrobeat
The Sicarii,222880,False,1,Ninkharsag,Blood Of Celestial Kings,0.172,0.951,6,-5.129,0.0,0.0992,0.0,0.886,0.115,0.197,122.02,222880,4.0,447.0,111.0,,1.1709531013615733,black-metal
Daar zijn we weer!,238228,True,17,Nosferatu;Neophyte,Harmony Of Hardcore 2016,0.599,0.976,4,-4.478,0.0,0.144,0.181,0.00197,0.303,0.259,100.023,238229,4.0,395.0,98.0,0.869,0.916010498687664,happy
deep cracks,113684,False,33,fogdream,deep cracks,0.763,0.368,5,-13.875,,0.0892,0.29,0.861,0.102,0.665,75.993,113684,4.0,141.0,35.0,,1.2793053545586106,study
WKND,264768,False,16,Camo & Krooked,Zeitgeist,0.612,0.68,9,-5.608,,0.184,0.00075,0.681,0.134,0.439,173.974,264768,4.0,766.0,193.0,,1.343558282208589,industrial
Offering,222106,False,31,The Avett Brothers,A Carolina Jubilee,0.342,0.442,7,-7.312,1.0,0.0294,0.24,0.00412,0.107,0.195,88.496,222107,4.0,325.0,81.0,,4.067085953878407,bluegrass
Hondo,98384,False,15,Flamman & Abraxas,Hondo,0.597,0.928,3,-8.626,0.0,0.034,0.000821,0.798,0.308,0.843,139.084,98385,4.0,223.0,55.0,,1.7389162561576355,techno
Tum Mile,343786,False,70,Pritam;Neeraj Shridhar,Tum Mile (Original Motion Picture Soundtrack),0.738,0.798,0,-6.663,,0.0334,0.32,5.15e-06,0.31,0.793,123.01,343787,4.0,695.0,174.0,,3.349056603773585,indian
イエローライト,274466,False,17,Shiritsu Ebisu Chugaku,私立恵比寿中学,0.459,0.856,8,-4.676,,0.0491,0.0138,1.3e-06,0.0261,0.645,168.171,274467,4.0,749.0,188.0,,2.7259036144578315,j-idol
Aaoge jab tum o sajna unplugged,101615,False,5,Nitin Shukla,Aaoge jab tum o sajna unplugged,0.501,0.0664,7,-20.161,1.0,0.0332,0.983,0.00057,0.123,0.547,94.04,101616,,158.0,39.0,,4.067085953878407,indian
Dendrofil for Yggdrasil,340080,False,4,Kvelertak,Nattesferd,0.104,0.964,9,-5.325,,0.0864,9.91e-06,0.57,0.525,0.126,158.191,340080,4.0,882.0,222.0,,1.343558282208589,black-metal
Hermosa,210088,False,1,Timothy Infinite,Suave,0.763,0.858,0,-5.413,,0.0496,0.218,0.873,0.103,0.284,101.982,210088,4.0,354.0,88.0,,3.349056603773585,study
Forest Green,189434,False,34,Kyson,Forest Green / Have My Back,0.616,0.314,6,-11.98,,0.0426,0.472,0.0999,0.112,0.0924,104.026,189435,4.0,319.0,78.0,,1.1709531013615733,idm
Big Brother,307932,True,21,Mushroomhead,Superbuick,0.323,0.902,9,-6.034,1.0,0.11,0.000528,0.00663,0.161,0.407,147.309,307933,4.0,733.0,184.0,,1.343558282208589,industrial
Dhoom Machale Dhoom,235624,False,53,Pritam;Aditi Singh Sharma;Sameer Anjaan,Dhoom:3,0.7,0.899,1,-8.262,1.0,0.117,0.096,1.38e-05,0.327,0.674,109.994,235625,4.0,429.0,107.0,,2.36741214057508,indian
Confide,268378,False,34,Technimatic;A Little Sound,Confide,0.285,0.867,10,-3.65,0.0,0.0465,0.0101,0.000269,0.0887,0.0378,173.818,268378,4.0,752.0,189.0,,0.7573891625615764,idm
Rockit,155653,False,23,Bad Boy Bill,The Album,0.866,0.574,7,-7.836,1.0,0.0649,0.00108,0.443,0.0406,0.602,127.951,155653,4.0,328.0,81.0,,4.067085953878407,chicago-house
My Promiscuous Daughter,196960,False,28,CKY,"Camp Kill Yourself, Vol.1",0.263,0.767,7,-10.161,,0.0525,0.00696,0.478,0.356,0.308,125.995,196960,4.0,410.0,103.0,,4.067085953878407,industrial
Are You Ready (ft. Capital J),171789,False,14,Bassnectar;Capital J,Cozza Frenzy,0.471,0.731,1,-6.222,1.0,0.0921,0.000248,0.731,0.195,0.667,94.511,171789,4.0,256.0,63.0,,2.36741214057508,breakbeat
Graveyard Slut,243626,True,19,Darkthrone,The Cult is Alive,0.0658,0.993,9,-2.484,1.0,0.164,0.000697,0.217,0.317,0.107,199.986,243627,,722.0,180.0,,1.343558282208589,black-metal
Too Close To Hate,288333,False,24,Sevendust,Sevendust,0.646,0.809,4,-9.072,,0.0745,0.000264,0.00109,0.207,0.39,92.5,288333,4.0,444.0,110.0,,0.916010498687664,industrial
We Don't Talk About Bruno (from Disney's 'Encanto'),127759,False,4,Piano Genie,We Don't Talk About Bruno (from Disney's 'Encanto'),0.737,0.0292,9,-31.514,0.0,0.0617,0.995,0.971,0.0863,0.185,95.036,127759,,200.0,49.0,,1.343558282208589,disney
Their Law,400733,True,48,The Prodigy,Music for the Jilted Generation,0.638,0.962,7,-8.468,1.0,0.0541,0.00223,0.716,0.309,0.562,119.081,400733,4.0,791.0,197.0,,4.067085953878407,breakbeat
Amores de barra,194666,False,29,Ella Baila Sola,Grandes Éxitos: Ella Baila Sola,0.604,0.827,7,-6.99,1.0,0.155,0.443,2.46e-06,0.201,0.315,172.065,194667,4.0,543.0,135.0,0.738,4.067085953878407,spanish
Mehman,270937,False,24,Anupam Roy,Mehman,0.603,0.783,6,-6.012,1.0,0.0486,0.131,4.16e-05,0.234,0.703,127.981,270938,4.0,571.0,141.0,,1.1709531013615733,indian
BALD! REMIX,153127,True,48,JPEGMAFIA;Denzel Curry,BALD! REMIX,0.721,0.949,1,0.402,1.0,0.31,0.181,0.0,0.646,0.705,155.015,153127,,394.0,100.0,,2.36741214057508,industrial
Be Kind,247433,False,33,Rival Consoles,Persona,0.507,0.343,10,-20.092,0.0,0.0405,0.959,0.93,0.102,0.45,154.096,247434,4.0,620.0,153.0,,0.7573891625615764,idm
"Safar (From ""Jab Harry Met Sejal"")",365669,False,50,Pritam;Arijit Singh,"Safar (From ""Jab Harry Met Sejal"")",0.307,0.604,7,-5.592,1.0,0.0397,0.593,3.79e-06,0.0789,0.452,85.641,365669,5.0,652.0,165.0,,4.067085953878407,indian
期待,282840,False,26,王瑞霞,"鄉城台語精選, Vol. 1",0.318,0.645,0,-10.555,1.0,0.0536,0.128,0.0,0.0825,0.483,74.127,282840,,338.0,84.0,,3.349056603773585,mandopop
Close - Derrick Carter Mix,759400,False,7,Chez Damier;Derrick Carter,Close,0.728,0.797,0,-9.004,0.0,0.036,1.04e-05,0.756,0.626,0.661,128.025,759400,4.0,1609.0,407.0,,3.349056603773585,chicago-house
勉強の歌 - 2012 Remaster,280026,False,23,Chisato Moritaka,ザ・シングルス 1987-1992 (2012 Remaster),0.671,0.968,9,-5.591,1.0,0.038,0.0841,8.61e-05,0.642,0.963,129.901,280027,4.0,595.0,148.0,,1.343558282208589,j-idol
Stukas im Visier,332786,False,30,Feindflug,Feindflug (Vierte Version),0.594,0.999,4,-0.527,,0.0929,0.00654,0.932,0.311,0.111,139.904,332787,4.0,773.0,195.0,,0.916010498687664,industrial
"Ponyo on the Cliff By the Sea (from ""Ponyo on the Cliff By the Sea"")",87931,False,22,David Healer,Studio Ghibli Piano Lullaby,0.641,0.289,5,-19.692,1.0,0.0484,0.985,0.954,0.104,0.63,116.011,87931,4.0,169.0,41.0,,1.2793053545586106,disney
Fried Banana 2018,279800,False,11,OSAMU SATO,LSD REVAMPED,0.56,0.886,9,-8.416,0.0,0.0456,0.107,0.833,0.0795,0.964,120.005,279800,4.0,549.0,137.0,,1.343558282208589,idm
Mi Chaqueta de Cuero,175177,True,42,C.R.O,C.R.O - Mdbcrew Vol 2,0.735,0.509,5,-8.174,,0.0684,0.773,0.0484,0.0948,0.32,137.068,175177,4.0,397.0,99.0,,1.2793053545586106,spanish
cheesus,126000,False,0,Giorgio Robertini,Slidetrue,0.598,0.336,9,-11.992,,0.0769,0.778,0.942,0.103,0.0386,90.156,126000,4.0,188.0,48.0,,1.343558282208589,study
Don't Loose Control,373953,False,0,Cosmic Boys,"Monosphere, Vol. 5",0.789,0.883,5,-4.552,,0.0635,0.000309,0.917,0.065,0.363,128.992,373953,4.0,799.0,199.0,,1.2793053545586106,techno
Shabistan,389800,False,6,Dariush Dolat-Shahi,"Electronic Music, Tar and Sehtar",0.316,0.48,7,-14.772,0.0,0.0559,0.828,0.817,0.0685,0.269,89.008,389800,4.0,643.0,160.0,,4.067085953878407,iranian
Prego e Martelo,178678,False,42,Pablo,Meu Coração,0.773,0.8,4,-3.929,1.0,0.0389,0.75,0.0,0.122,0.792,131.948,178678,4.0,387.0,95.0,,0.916010498687664,forro
Weird Sex,50640,False,0,Leila Bela,Angra Manyu,0.34,0.332,6,-17.576,1.0,0.0597,0.767,0.635,0.112,0.139,81.286,50640,3.0,65.0,20.0,,1.1709531013615733,iranian
Crackpipe,272382,False,21,Micropoint,Overdose United,0.673,0.984,5,-1.414,0.0,0.288,0.0002,0.898,0.0887,0.105,99.998,272382,4.0,452.0,114.0,,1.2793053545586106,industrial
退後,260200,False,60,Jay Chou,依然范特西,0.661,0.572,0,-5.665,1.0,0.0246,0.406,0.0,0.111,0.186,131.954,260200,4.0,561.0,141.0,,3.349056603773585,mandopop
可愛女人,236466,False,55,Jay Chou,杰倫,0.767,0.671,5,-9.995,1.0,0.0317,0.552,3.23e-05,0.201,0.921,135.468,236467,4.0,532.0,132.0,,1.2793053545586106,mandopop
