,name,duration_ms,explicit,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,n_bars,processing,genre
26,Soim In Vazduh,417.02,False,Bucovina,Sub Stele,0.5,0.97,0,-5.03,1.0,0.08,0.0,0.35,0.25,0.23,154.99,4.13,1068.0,269.0,3.35,black-metal
27,Doug's Tune,136.27,False,The Dillards,Back Porch Bluegrass,0.4,0.93,3,-9.58,1.0,0.05,0.28,0.97,0.1,0.98,135.49,3.83,292.0,71.0,1.74,bluegrass
28,愛上你算我賤,250.94,False,NICKTHEREAL,REAL LIFE,0.48,0.74,6,-4.46,0.0,0.04,0.0,0.0,0.15,0.35,163.99,4.0,670.0,167.0,1.17,mandopop
29,never had,140.49,False,Organ Tapes,唱着那无人问津的歌谣 / Chang Zhe Na Wu Ren Wen Jin De Ge Yao,0.4,0.39,2,-14.81,1.0,0.04,0.86,0.72,0.13,0.75,89.27,4.0,200.0,50.0,3.7,techno
30,I Love You - Love Mix,217.92,False,The Prophet,The Hardcore Archive Part 2 (1995 - 1996),0.68,0.88,0,-4.89,1.0,0.05,0.02,0.22,0.04,0.51,144.0,4.0,518.0,129.0,3.35,happy
31,H.O.P.E.,569.78,False,Hozho,"Singles Collection, Vol. 1",0.71,0.47,4,-11.72,1.0,0.05,0.07,0.74,0.1,0.08,127.03,4.0,1198.0,302.0,0.92,techno
32,Pal - Lofi Flip,263.2,False,Kritiman Mishra;Arijit Singh;Shreya Ghoshal;Javed-Mohsin,Pal (Lofi Flip),0.62,0.6,7,-7.66,0.0,0.04,0.19,0.05,0.18,0.23,119.94,4.0,517.0,129.0,4.07,indian
33,Meu Vício É Você,144.91,False,Zezo,Zezo (O Príncipe dos Teclados),0.77,0.86,1,-2.34,0.0,0.03,0.53,0.0,0.1,0.71,111.06,4.0,268.0,66.0,2.37,forro
34,Get Get Down - Original Mix,552.0,False,Paul Johnson,"Best Of Moody Recordings, Vol. 1",0.91,0.92,5,-8.04,0.0,0.08,0.0,0.84,0.12,0.51,126.95,4.0,1166.0,290.0,1.28,chicago-house
35,Battle Cry,175.2,True,Kraff Gad,Battle Cry,0.87,0.49,7,-9.21,1.0,0.12,0.23,0.0,0.09,0.2,100.1,4.0,288.0,72.0,4.07,j-dance
36,Wir Ziehen Heut Abend Auf's Dach,210.31,False,Jürgen Drews,Musik Box Teil 1,0.63,0.92,7,-5.59,0.0,0.08,0.63,0.0,0.49,0.8,124.06,4.01,426.0,107.0,4.07,happy
37,Despot,361.8,False,Windir,Likferd,0.32,0.62,2,-5.79,0.0,0.05,0.0,0.94,0.22,0.19,90.05,4.0,539.0,136.0,3.7,black-metal
38,Vou Te Procurar,213.92,False,Asas Livres,Asas Livres & Pablo: Retrô (Ao Vivo),0.78,0.54,0,-7.75,1.0,0.03,0.09,0.0,0.57,0.83,128.9,4.0,458.0,113.0,3.35,forro
39,Isso Aquí Tá Bom Demais,154.24,False,Dominguinhos,Nas Costas Do Brasil,0.73,0.8,2,-7.72,1.0,0.04,0.26,0.0,0.31,0.81,139.99,4.02,354.0,87.0,3.7,forro
40,The Light Tears Apart,256.69,False,Shivered,Journey to Fade,0.44,0.93,4,-5.09,0.0,0.07,0.0,0.0,0.38,0.45,159.94,4.0,664.0,166.0,0.92,iranian
41,i loved you first,227.07,False,joan,i loved you first,0.56,0.28,0,-9.6,1.0,0.03,0.09,0.0,0.1,0.22,75.02,3.67,280.0,70.0,3.35,sleep
42,Filho de Davi,353.99,False,Tony Allysson,Poderoso Deus,0.58,0.64,2,-5.34,1.0,0.03,0.66,0.0,0.14,0.34,137.98,4.0,806.0,202.0,3.7,brazil
43,"Tere Siva Jag Mein (From ""Tadap"")",205.02,False,Pritam;Shilpa Rao;Darshan Raval;Charan,"Tere Siva Jag Mein (From ""Tadap"")",0.76,0.8,5,-5.73,1.0,0.07,0.09,0.0,0.13,0.71,122.04,4.0,413.0,103.0,1.28,indian
44,Homophobia,273.82,True,Tension Prophecy,Death Metal From Iran,0.24,0.78,1,-5.98,1.0,0.15,0.01,0.73,0.25,0.16,92.32,4.0,407.0,101.0,2.37,iranian
45,Ajab Adaayein,194.24,False,Swattrex,Ajab Adaayein,0.67,0.19,4,-17.94,1.0,0.03,0.87,0.0,0.11,0.31,90.77,4.0,287.0,70.0,0.92,indian
46,The Remedy,367.19,True,Puscifer,Money Shot,0.47,0.76,11,-8.15,0.0,0.03,0.03,0.04,0.17,0.66,180.02,5.0,1078.0,272.0,0.75,industrial
47,Long Hot Summer Days,288.76,False,John Hartford,Mark Twang,0.59,0.18,9,-17.3,1.0,0.08,0.93,0.0,0.29,0.52,70.96,3.76,341.0,86.0,1.34,bluegrass
48,Acalma Minha Tempestade,384.85,False,Frei Gilson,Eu Vou Crer em Ti,0.54,0.91,10,-6.88,1.0,0.05,0.06,0.0,0.18,0.34,134.01,4.0,852.0,214.0,0.76,brazil
49,Cloudy Daze - Ham Mix,323.93,False,Bang!,Cloudy Daze,0.59,0.59,10,-14.42,1.0,0.04,0.0,0.12,0.06,0.33,169.86,4.0,900.0,225.0,0.76,happy
50,La Lola,197.32,False,Café Quijano,La Extraordinaria Paradoja Del Sonido Quijano,0.72,0.79,9,-4.39,0.0,0.1,0.06,0.01,0.12,0.87,151.99,4.0,496.0,123.0,1.34,spanish
51,Des fissures apparaissent,82.75,False,Germaine Franco,Encanto: La fantastique famille Madrigal (Bande Originale Française du Film),0.2,0.48,1,-14.55,1.0,0.05,0.83,0.93,0.1,0.23,76.59,3.0,101.0,32.0,2.37,disney
52,The Potters Hand,256.09,False,Hillsong Worship,Ultimate Worship Vol 1,0.3,0.46,7,-6.61,1.0,0.03,0.34,0.0,0.2,0.19,74.59,3.66,311.0,76.0,4.07,iranian
53,Goodbye (feat. Xillions),155.49,False,le Shuuk;Xillions,Goodbye (feat. Xillions),0.69,0.8,1,-4.5,0.0,0.12,0.04,0.0,0.07,0.51,142.06,4.02,362.0,91.0,2.37,techno
54,Summer Wages,269.49,False,J.D. Crowe & The New South,J.D. Crowe & the New South,0.58,0.18,11,-14.49,1.0,0.03,0.7,0.0,0.18,0.51,128.61,3.94,568.0,141.0,0.75,bluegrass
55,E.C.T. - Ao Vivo,210.6,False,Cássia Eller,Acústico (Ao Vivo),0.67,0.9,7,-8.39,1.0,0.12,0.67,0.0,0.15,0.63,130.09,4.12,455.0,114.0,4.07,brazil
56,American Car,279.29,False,Keller Williams with The Travelin' McCourys,Pick,0.59,0.58,2,-6.92,1.0,0.03,0.58,0.0,0.2,0.66,96.02,4.0,439.0,109.0,3.7,bluegrass
57,Blow the Man Down,117.91,False,Mickey Mouse;The Gooey Fish,Mickey Mouse Clubhouse,0.72,0.55,2,-9.03,1.0,0.03,0.32,0.0,0.1,0.98,97.62,1.0,186.0,46.0,3.7,disney
58,Beaks of Eagles,271.97,False,Kelpe,Fourth: The Golden Eagle,0.62,0.52,10,-9.23,1.0,0.04,0.09,0.73,0.18,0.64,95.08,4.0,422.0,107.0,0.76,idm
59,Down 4 U - Extended Version; 2017 Remaster,507.83,False,Romanthony,Glasgow Underground 1997-2017,0.88,0.59,5,-6.9,0.0,0.06,0.0,0.09,0.06,0.71,128.39,4.23,1087.0,273.0,1.28,chicago-house
60,For Those Tears I Died,181.76,False,The Isaacs,The Living Years,0.42,0.12,11,-13.66,1.0,0.03,0.9,0.0,0.05,0.23,77.2,4.0,225.0,56.0,0.75,bluegrass
61,Acending,174.75,False,So Jao,Acending,0.2,0.04,5,-30.85,1.0,0.05,0.97,0.98,0.14,0.06,87.11,3.0,253.0,84.0,1.28,sleep
62,Filmes e Histórias,229.05,False,Pablo,Um Novo Passo,0.65,0.57,1,-5.73,1.0,0.03,0.32,0.0,0.4,0.64,131.91,4.0,503.0,127.0,2.37,forro
63,Dignity,314.18,False,Kahtmayan,Resurrection 1,0.6,0.95,6,-4.39,1.0,0.04,0.0,0.0,0.36,0.18,119.96,4.0,619.0,155.0,1.17,iranian
64,Dance Wit U,198.93,False,CIRRRCLE,BESTY,0.76,0.62,10,-5.97,0.0,0.28,0.07,0.0,0.03,0.8,105.96,4.0,348.0,86.0,0.76,j-dance
65,Falling Time,427.97,False,Alphaxone,Dystopian Gate,0.11,0.23,1,-23.62,1.0,0.04,0.84,0.88,0.14,0.04,82.33,3.0,696.0,231.0,2.37,iranian
66,Stupid MF,144.99,False,Mindless Self Indulgence,You'll Rebel To Anything (Expanded and Remastered),0.7,0.73,0,-5.05,0.0,0.13,0.01,0.02,0.17,0.73,151.97,4.0,364.0,90.0,3.35,industrial
67,與海無關 (《比悲傷更悲傷的故事》影集版插曲),245.23,False,告五人,運氣來得若有似無,0.65,0.23,2,-12.62,1.0,0.03,0.91,0.0,0.09,0.37,78.16,4.0,313.0,78.0,3.7,mandopop
68,Het barsten begint,82.75,False,Germaine Franco,Encanto (Originele Nederlandstalige Soundtrack),0.2,0.48,1,-14.55,1.0,0.05,0.83,0.93,0.1,0.23,76.59,3.0,101.0,32.0,2.37,disney
69,Helligdom Av Døde,377.22,False,Khold,Svartsyn,0.47,0.66,2,-13.25,1.0,0.04,0.0,0.0,0.06,0.28,127.91,3.95,793.0,198.0,3.7,black-metal
70,A System Of Mirrors,459.39,False,Robert Hood,Mirror Man,0.68,0.7,10,-12.3,0.0,0.04,0.0,0.9,0.07,0.15,130.0,4.0,966.0,241.0,0.76,chicago-house
71,ラッキー7,194.92,False,Flower,Hitomi No Oku No Milkyway,0.67,0.91,7,-3.31,1.0,0.05,0.02,0.0,0.04,0.78,93.0,4.0,293.0,73.0,4.07,j-idol
72,Snart blir jeg majestet,171.6,False,Eirik Espolin Johnson;Pernille Sommerfeldt;Anders Hatlo,The Lion King: Special Edition Original Soundtrack (Norwegian Version),0.63,0.75,6,-8.36,1.0,0.08,0.26,0.0,0.09,0.84,98.89,4.0,276.0,69.0,1.17,disney
73,Tell Me If Yuh Like It,186.67,True,Vybz Kartel,Tell Me If Yuh Like It,0.65,0.74,4,-4.55,0.0,0.34,0.04,0.0,0.08,0.33,114.97,5.0,354.0,87.0,0.92,j-dance
74,Dull Boy,255.32,False,Mudvayne,"By The People, For The People",0.6,0.95,2,-4.49,0.0,0.19,0.0,0.0,0.23,0.31,142.97,4.0,581.0,145.0,3.7,industrial
75,Atomic Ever After,183.14,False,Kid Travis,Strawberry Skies,0.75,0.36,6,-13.47,1.0,0.18,0.2,0.0,0.09,0.59,137.64,4.0,415.0,105.0,1.17,study
76,River of Grace,232.65,False,Christy Nockels,Be Held : Lullabies for the Beloved,0.52,0.4,11,-10.65,1.0,0.05,0.83,0.0,0.1,0.4,77.05,4.0,291.0,72.0,0.75,brazil
77,Dooms Day,227.06,False,Arsames,Immortal Identity,0.46,0.99,7,-3.82,0.0,0.14,0.0,0.7,0.33,0.42,165.01,4.0,611.0,153.0,4.07,iranian
78,"Zicke Zacke, Prost ihr Säcke",170.04,False,Jack Gelee,"Zicke Zacke, Prost ihr Säcke",0.71,1.0,8,-1.9,1.0,0.3,0.02,0.0,0.53,0.71,140.09,4.0,391.0,97.0,2.73,happy
79,Sick Of It All,301.38,False,Nosferatu;Evil Activities,Strength,0.6,1.0,6,-3.26,0.0,0.18,0.23,0.0,0.58,0.15,169.97,4.0,847.0,212.0,1.17,happy
80,Aropador,240.03,False,Plastilina Mosh,Juan Manuel,0.78,0.51,2,-14.55,1.0,0.07,0.95,0.92,0.07,0.4,117.15,4.07,461.0,115.0,3.7,afrobeat
81,The Sicarii,222.88,False,Ninkharsag,Blood Of Celestial Kings,0.17,0.95,6,-5.13,0.0,0.1,0.0,0.89,0.12,0.2,122.02,4.0,447.0,111.0,1.17,black-metal
82,Daar zijn we weer!,238.23,True,Nosferatu;Neophyte,Harmony Of Hardcore 2016,0.6,0.98,4,-4.48,0.0,0.14,0.18,0.0,0.3,0.26,100.02,4.0,395.0,98.0,0.92,happy
83,deep cracks,113.68,False,fogdream,deep cracks,0.76,0.37,5,-13.88,1.0,0.09,0.29,0.86,0.1,0.66,75.99,4.0,141.0,35.0,1.28,study
84,WKND,264.77,False,Camo & Krooked,Zeitgeist,0.61,0.68,9,-5.61,1.0,0.18,0.0,0.68,0.13,0.44,173.97,4.0,766.0,193.0,1.34,industrial
85,Offering,222.11,False,The Avett Brothers,A Carolina Jubilee,0.34,0.44,7,-7.31,1.0,0.03,0.24,0.0,0.11,0.2,88.5,4.0,325.0,81.0,4.07,bluegrass
86,Hondo,98.38,False,Flamman & Abraxas,Hondo,0.6,0.93,3,-8.63,0.0,0.03,0.0,0.8,0.31,0.84,139.08,4.0,223.0,55.0,1.74,techno
87,Tum Mile,343.79,False,Pritam;Neeraj Shridhar,Tum Mile (Original Motion Picture Soundtrack),0.74,0.8,0,-6.66,1.0,0.03,0.32,0.0,0.31,0.79,123.01,4.0,695.0,174.0,3.35,indian
88,イエローライト,274.47,False,Shiritsu Ebisu Chugaku,私立恵比寿中学,0.46,0.86,8,-4.68,1.0,0.05,0.01,0.0,0.03,0.64,168.17,4.0,749.0,188.0,2.73,j-idol
89,Aaoge jab tum o sajna unplugged,101.62,False,Nitin Shukla,Aaoge jab tum o sajna unplugged,0.5,0.07,7,-20.16,1.0,0.03,0.98,0.0,0.12,0.55,94.04,3.69,158.0,39.0,4.07,indian
90,Dendrofil for Yggdrasil,340.08,False,Kvelertak,Nattesferd,0.1,0.96,9,-5.32,1.0,0.09,0.0,0.57,0.52,0.13,158.19,4.0,882.0,222.0,1.34,black-metal
91,Hermosa,210.09,False,Timothy Infinite,Suave,0.76,0.86,0,-5.41,1.0,0.05,0.22,0.87,0.1,0.28,101.98,4.0,354.0,88.0,3.35,study
92,Forest Green,189.43,False,Kyson,Forest Green / Have My Back,0.62,0.31,6,-11.98,1.0,0.04,0.47,0.1,0.11,0.09,104.03,4.0,319.0,78.0,1.17,idm
93,Big Brother,307.93,True,Mushroomhead,Superbuick,0.32,0.9,9,-6.03,1.0,0.11,0.0,0.01,0.16,0.41,147.31,4.0,733.0,184.0,1.34,industrial
94,Dhoom Machale Dhoom,235.62,False,Pritam;Aditi Singh Sharma;Sameer Anjaan,Dhoom:3,0.7,0.9,1,-8.26,1.0,0.12,0.1,0.0,0.33,0.67,109.99,4.0,429.0,107.0,2.37,indian
95,Confide,268.38,False,Technimatic;A Little Sound,Confide,0.28,0.87,10,-3.65,0.0,0.05,0.01,0.0,0.09,0.04,173.82,4.0,752.0,189.0,0.76,idm
96,Rockit,155.65,False,Bad Boy Bill,The Album,0.87,0.57,7,-7.84,1.0,0.06,0.0,0.44,0.04,0.6,127.95,4.0,328.0,81.0,4.07,chicago-house
97,My Promiscuous Daughter,196.96,False,CKY,"Camp Kill Yourself, Vol.1",0.26,0.77,7,-10.16,1.0,0.05,0.01,0.48,0.36,0.31,126.0,4.0,410.0,103.0,4.07,industrial
98,Are You Ready (ft. Capital J),171.79,False,Bassnectar;Capital J,Cozza Frenzy,0.47,0.73,1,-6.22,1.0,0.09,0.0,0.73,0.2,0.67,94.51,4.0,256.0,63.0,2.37,breakbeat
99,Graveyard Slut,243.63,True,Darkthrone,The Cult is Alive,0.07,0.99,9,-2.48,1.0,0.16,0.0,0.22,0.32,0.11,199.99,4.0,722.0,180.0,1.34,black-metal
100,Too Close To Hate,288.33,False,Sevendust,Sevendust,0.65,0.81,4,-9.07,1.0,0.07,0.0,0.0,0.21,0.39,92.5,4.0,444.0,110.0,0.92,industrial
101,We Don't Talk About Bruno (from Disney's 'Encanto'),127.76,False,Piano Genie,We Don't Talk About Bruno (from Disney's 'Encanto'),0.74,0.03,9,-31.51,0.0,0.06,1.0,0.97,0.09,0.18,95.04,3.76,200.0,49.0,1.34,disney
102,Their Law,400.73,True,The Prodigy,Music for the Jilted Generation,0.64,0.96,7,-8.47,1.0,0.05,0.0,0.72,0.31,0.56,119.08,4.0,791.0,197.0,4.07,breakbeat
103,Amores de barra,194.67,False,Ella Baila Sola,Grandes Éxitos: Ella Baila Sola,0.6,0.83,7,-6.99,1.0,0.16,0.44,0.0,0.2,0.32,172.06,4.0,543.0,135.0,4.07,spanish
104,Mehman,270.94,False,Anupam Roy,Mehman,0.6,0.78,6,-6.01,1.0,0.05,0.13,0.0,0.23,0.7,127.98,4.0,571.0,141.0,1.17,indian
105,BALD! REMIX,153.13,True,JPEGMAFIA;Denzel Curry,BALD! REMIX,0.72,0.95,1,0.4,1.0,0.31,0.18,0.0,0.65,0.7,155.01,4.12,394.0,100.0,2.37,industrial
106,Be Kind,247.43,False,Rival Consoles,Persona,0.51,0.34,10,-20.09,0.0,0.04,0.96,0.93,0.1,0.45,154.1,4.0,620.0,153.0,0.76,idm
107,"Safar (From ""Jab Harry Met Sejal"")",365.67,False,Pritam;Arijit Singh,"Safar (From ""Jab Harry Met Sejal"")",0.31,0.6,7,-5.59,1.0,0.04,0.59,0.0,0.08,0.45,85.64,5.0,652.0,165.0,4.07,indian
108,期待,282.84,False,王瑞霞,"鄉城台語精選, Vol. 1",0.32,0.64,0,-10.56,1.0,0.05,0.13,0.0,0.08,0.48,74.13,3.64,338.0,84.0,3.35,mandopop
109,Close - Derrick Carter Mix,759.4,False,Chez Damier;Derrick Carter,Close,0.73,0.8,0,-9.0,0.0,0.04,0.0,0.76,0.63,0.66,128.02,4.0,1609.0,407.0,3.35,chicago-house
110,勉強の歌 - 2012 Remaster,280.03,False,Chisato Moritaka,ザ・シングルス 1987-1992 (2012 Remaster),0.67,0.97,9,-5.59,1.0,0.04,0.08,0.0,0.64,0.96,129.9,4.0,595.0,148.0,1.34,j-idol
111,Stukas im Visier,332.79,False,Feindflug,Feindflug (Vierte Version),0.59,1.0,4,-0.53,1.0,0.09,0.01,0.93,0.31,0.11,139.9,4.0,773.0,195.0,0.92,industrial
112,"Ponyo on the Cliff By the Sea (from ""Ponyo on the Cliff By the Sea"")",87.93,False,David Healer,Studio Ghibli Piano Lullaby,0.64,0.29,5,-19.69,1.0,0.05,0.98,0.95,0.1,0.63,116.01,4.0,169.0,41.0,1.28,disney
113,Fried Banana 2018,279.8,False,OSAMU SATO,LSD REVAMPED,0.56,0.89,9,-8.42,0.0,0.05,0.11,0.83,0.08,0.96,120.0,4.0,549.0,137.0,1.34,idm
114,Mi Chaqueta de Cuero,175.18,True,C.R.O,C.R.O - Mdbcrew Vol 2,0.74,0.51,5,-8.17,1.0,0.07,0.77,0.05,0.09,0.32,137.07,4.0,397.0,99.0,1.28,spanish
115,cheesus,126.0,False,Giorgio Robertini,Slidetrue,0.6,0.34,9,-11.99,1.0,0.08,0.78,0.94,0.1,0.04,90.16,4.0,188.0,48.0,1.34,study
116,Don't Loose Control,373.95,False,Cosmic Boys,"Monosphere, Vol. 5",0.79,0.88,5,-4.55,1.0,0.06,0.0,0.92,0.06,0.36,128.99,4.0,799.0,199.0,1.28,techno
117,Shabistan,389.8,False,Dariush Dolat-Shahi,"Electronic Music, Tar and Sehtar",0.32,0.48,7,-14.77,0.0,0.06,0.83,0.82,0.07,0.27,89.01,4.0,643.0,160.0,4.07,iranian
118,Prego e Martelo,178.68,False,Pablo,Meu Coração,0.77,0.8,4,-3.93,1.0,0.04,0.75,0.0,0.12,0.79,131.95,4.0,387.0,95.0,0.92,forro
119,Weird Sex,50.64,False,Leila Bela,Angra Manyu,0.34,0.33,6,-17.58,1.0,0.06,0.77,0.64,0.11,0.14,81.29,3.0,65.0,20.0,1.17,iranian
120,Crackpipe,272.38,False,Micropoint,Overdose United,0.67,0.98,5,-1.41,0.0,0.29,0.0,0.9,0.09,0.1,100.0,4.0,452.0,114.0,1.28,industrial
121,退後,260.2,False,Jay Chou,依然范特西,0.66,0.57,0,-5.66,1.0,0.02,0.41,0.0,0.11,0.19,131.95,4.0,561.0,141.0,3.35,mandopop
122,可愛女人,236.47,False,Jay Chou,杰倫,0.77,0.67,5,-9.99,1.0,0.03,0.55,0.0,0.2,0.92,135.47,4.0,532.0,132.0,1.28,mandopop
123,Pai Nosso - Ao Vivo,213.87,False,Padre Marcelo Rossi,Padre Marcelo Rossi Sem Limite,0.19,0.62,9,-7.39,1.0,0.04,0.09,0.0,0.06,0.28,183.26,3.0,645.0,215.0,1.34,brazil
124,"Bilu, Bilu",207.49,False,Pablo,É Só Dizer Que Sim,0.63,0.66,5,-6.27,1.0,0.03,0.44,0.0,0.53,0.61,132.01,3.93,456.0,115.0,1.28,forro
125,Nossa História,276.24,False,Forró Boys,"Forró di Katiguria, Vol. 3",0.72,0.82,8,-4.76,1.0,0.03,0.09,0.0,0.12,0.9,93.0,3.94,428.0,107.0,2.73,forro
126,Ova Dweet (Mixed),151.5,False,Popcaan,CruiseControl: How I Met The Biggest Bird (DJ Mix),0.5,0.67,1,-7.68,1.0,0.4,0.13,0.0,0.61,0.54,128.45,5.0,290.0,74.0,2.37,j-dance
127,Ballada 07,216.64,False,Grzegorz Markowski,Polska Nostalgia 60+ Cz.3,0.5,0.48,5,-7.25,1.0,0.03,0.63,0.0,0.23,0.28,109.09,4.0,388.0,97.0,1.28,disney
128,I'm not yours (feat. 安室奈美惠),221.72,False,Jolin Tsai;Namie Amuro,呸,0.62,0.87,9,-5.64,1.0,0.04,0.01,0.0,0.65,0.48,128.01,4.0,470.0,116.0,1.34,mandopop
129,Baadaabaad,290.0,False,Rojin Sharafi,Zangaar,0.4,0.42,7,-13.29,0.0,0.16,0.84,0.36,0.11,0.04,88.55,1.0,423.0,107.0,4.07,iranian
130,Ginger Root,140.75,False,"Sarah, the Illstrumentalist",FLOWERS,0.4,0.22,9,-12.46,0.0,0.04,0.68,0.79,0.18,0.11,84.66,4.0,190.0,47.0,1.34,study
131,Anye Up,200.91,False,Ed Solo,"Welcome To The Jungle, Vol. 6: The Ultimate Jungle Cakes Drum & Bass Compilation",0.53,0.87,1,-3.23,1.0,0.05,0.0,0.94,0.15,0.74,175.0,4.0,577.0,144.0,2.37,breakbeat
132,Aura,521.4,False,Avoure,U,0.68,0.6,11,-9.09,0.0,0.05,0.0,0.89,0.05,0.36,123.0,4.0,1066.0,267.0,0.75,techno
