,name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,n_bars,popularity_confidence,processing,genre,genres_val,explicit_val
22,→,282.893,False,18,SILENT SIREN,Silent Siren Selection,0.522,0.805,9,-5.427,1.0,0.0436,0.00608,0.0,0.265,0.616,176.127,4.0,815.0,203.0,0.48836538115990147,1.343558282208589,j-idol,14,0
23,Ukon Laulu,252.556,False,27,Lepoka,Bibere Vivere,0.373,0.927,7,-4.14,1.0,0.09,0.000365,0.000162,0.0878,0.479,180.012,4.0,745.0,188.0,0.5109583913652707,4.067085953878407,spanish,17,0
24,Monday Morning Before Work,227.32,False,13,Kelpe,Kyverdale Road,0.757,0.153,8,-23.574,1.0,0.047,0.857,0.952,0.106,0.476,102.987,4.0,382.0,95.0,0.48172774985269606,2.7259036144578315,idm,9,0
25,えっと干支がーる,204.0,False,28,夜光性アミューズ,えっと干支がーる,0.684,0.898,10,-4.965,1.0,0.0494,0.0174,0.0,0.323,0.808,100.021,4.0,324.0,81.0,0.49211251424552094,0.7573891625615764,j-idol,14,0
26,Soim In Vazduh,417.025,False,20,Bucovina,Sub Stele,0.497,0.974,0,-5.032,1.0,0.0821,0.000247,0.349,0.252,0.232,154.991,4.0,1068.0,269.0,0.4940558039331311,3.349056603773585,black-metal,1,0
27,Doug's Tune,136.266,False,28,The Dillards,Back Porch Bluegrass,0.397,0.933,3,-9.578,0.0,0.0503,0.275,0.969,0.0951,0.977,135.491,4.0,292.0,71.0,0.5020980938699863,1.7389162561576357,bluegrass,2,0
28,愛上你算我賤,250.941,False,55,NICKTHEREAL,REAL LIFE,0.478,0.738,6,-4.464,0.0,0.0414,0.00432,0.0,0.154,0.353,163.994,4.0,670.0,167.0,0.48596757103676597,1.1709531013615733,mandopop,15,0
29,never had,140.487,False,12,Organ Tapes,唱着那无人问津的歌谣 / Chang Zhe Na Wu Ren Wen Jin De Ge Yao,0.405,0.389,2,-14.809,1.0,0.0419,0.863,0.72,0.134,0.748,89.271,4.0,200.0,50.0,0.4758643809966998,3.70048309178744,techno,19,0
30,I Love You - Love Mix,217.916,False,1,The Prophet,The Hardcore Archive Part 2 (1995 - 1996),0.682,0.877,0,-4.89,1.0,0.0477,0.0158,0.218,0.0439,0.512,144.003,4.0,518.0,129.0,0.4987508971640757,3.349056603773585,happy,8,0
31,H.O.P.E.,569.782,False,33,Hozho,"Singles Collection, Vol. 1",0.712,0.474,4,-11.715,0.0,0.0516,0.0664,0.745,0.0998,0.0839,127.026,4.0,1198.0,302.0,0.4813350880914643,0.916010498687664,techno,19,0
32,Pal - Lofi Flip,263.2,False,57,Kritiman Mishra;Arijit Singh;Shreya Ghoshal;Javed-Mohsin,Pal (Lofi Flip),0.616,0.6,7,-7.662,0.0,0.0417,0.192,0.046,0.176,0.23,119.944,4.0,517.0,129.0,0.4971431222956376,4.067085953878407,indian,10,0
33,Meu Vício É Você,144.906,False,0,Zezo,Zezo (O Príncipe dos Teclados),0.771,0.856,1,-2.34,0.0,0.0265,0.533,0.0,0.105,0.713,111.064,4.0,268.0,66.0,0.5088885081771362,2.36741214057508,forro,7,0
34,Get Get Down - Original Mix,551.999,False,8,Paul Johnson,"Best Of Moody Recordings, Vol. 1",0.906,0.918,5,-8.041,0.0,0.0839,0.000146,0.845,0.116,0.51,126.953,4.0,1166.0,290.0,0.520483774295432,1.2793053545586106,chicago-house,5,0
35,Battle Cry,175.2,True,0,Kraff Gad,Battle Cry,0.867,0.487,7,-9.212,1.0,0.115,0.231,0.0,0.0872,0.204,100.104,4.0,288.0,72.0,0.501947648288354,4.067085953878407,j-dance,13,1
36,Wir Ziehen Heut Abend Auf's Dach,210.306,False,26,Jürgen Drews,Musik Box Teil 1,0.631,0.925,7,-5.591,0.0,0.0761,0.627,3.66e-06,0.493,0.799,124.061,4.111111111111111,426.0,107.0,0.69,4.067085953878407,happy,8,0
37,Despot,361.8,False,18,Windir,Likferd,0.318,0.623,2,-5.794,0.0,0.0531,1.21e-06,0.935,0.224,0.192,90.051,4.0,539.0,136.0,0.49980864043552253,3.70048309178744,black-metal,1,0
38,Vou Te Procurar,213.916,False,0,Asas Livres,Asas Livres & Pablo: Retrô (Ao Vivo),0.78,0.541,0,-7.75,1.0,0.0282,0.0877,1.58e-05,0.573,0.83,128.901,4.0,458.0,113.0,0.4623953210088803,3.349056603773585,forro,7,0
39,Isso Aquí Tá Bom Demais,154.24,False,53,Dominguinhos,Nas Costas Do Brasil,0.728,0.802,2,-7.717,1.0,0.043,0.256,0.00262,0.314,0.809,139.992,4.0,354.0,87.0,0.49413129913922843,3.70048309178744,forro,7,0
40,The Light Tears Apart,256.687,False,0,Shivered,Journey to Fade,0.443,0.932,4,-5.086,0.0,0.0715,2.47e-05,0.00178,0.375,0.454,159.935,4.0,664.0,166.0,0.4854930570386554,0.916010498687664,iranian,12,0
41,i loved you first,227.067,False,50,joan,i loved you first,0.556,0.276,0,-9.603,1.0,0.0269,0.0862,6.89e-06,0.0999,0.216,75.02,4.0,280.0,70.0,0.4454477380830729,3.349056603773585,sleep,16,0
42,Filho de Davi,353.986,False,49,Tony Allysson,Poderoso Deus,0.578,0.635,2,-5.335,1.0,0.0278,0.661,0.0,0.138,0.343,137.98,4.0,806.0,202.0,0.5070030858128026,3.70048309178744,brazil,3,0
43,"Tere Siva Jag Mein (From ""Tadap"")",205.022,False,44,Pritam;Shilpa Rao;Darshan Raval;Charan,"Tere Siva Jag Mein (From ""Tadap"")",0.756,0.799,5,-5.728,0.0,0.0682,0.0894,0.00044,0.129,0.709,122.04,4.0,413.0,103.0,0.4921047821797917,1.2793053545586106,indian,10,0
44,Homophobia,273.819,True,0,Tension Prophecy,Death Metal From Iran,0.238,0.777,1,-5.98,1.0,0.151,0.0106,0.73,0.254,0.156,92.322,4.0,407.0,101.0,0.4995283524140043,2.36741214057508,iranian,12,1
45,Ajab Adaayein,194.245,False,46,Swattrex,Ajab Adaayein,0.667,0.193,4,-17.939,1.0,0.0316,0.867,0.000222,0.108,0.307,90.77,4.0,287.0,70.0,0.4547826667691643,0.916010498687664,indian,10,0
46,The Remedy,367.191,True,12,Puscifer,Money Shot,0.466,0.759,11,-8.148,0.0,0.0311,0.0304,0.0405,0.171,0.659,180.021,5.0,1078.0,272.0,0.47083528669745783,0.7481162540365985,industrial,11,1
47,Long Hot Summer Days,288.76,False,32,John Hartford,Mark Twang,0.591,0.177,9,-17.299,1.0,0.0811,0.926,0.00106,0.294,0.522,70.959,4.0,341.0,86.0,0.353,1.343558282208589,bluegrass,2,0
48,Acalma Minha Tempestade,384.85,False,56,Frei Gilson,Eu Vou Crer em Ti,0.538,0.907,10,-6.877,1.0,0.0515,0.0567,9.07e-06,0.178,0.345,134.014,4.0,852.0,214.0,0.4946949555164969,0.7573891625615764,brazil,3,0
49,Cloudy Daze - Ham Mix,323.928,False,23,Bang!,Cloudy Daze,0.593,0.588,10,-14.42,0.0,0.043,0.00315,0.124,0.0639,0.328,169.857,4.0,900.0,225.0,0.525,0.7573891625615764,happy,8,0
50,La Lola,197.32,False,67,Café Quijano,La Extraordinaria Paradoja Del Sonido Quijano,0.725,0.79,9,-4.393,0.0,0.102,0.0646,0.00883,0.121,0.867,151.985,4.0,496.0,123.0,0.5105805768030657,1.343558282208589,spanish,17,0
51,Des fissures apparaissent,82.746,False,25,Germaine Franco,Encanto: La fantastique famille Madrigal (Bande Originale Française du Film),0.198,0.483,1,-14.552,1.0,0.0506,0.831,0.927,0.0979,0.234,76.592,3.0,101.0,32.0,0.46168081964839697,2.36741214057508,disney,6,0
52,The Potters Hand,256.093,False,43,Hillsong Worship,Ultimate Worship Vol 1,0.301,0.456,7,-6.606,1.0,0.0259,0.34,2.46e-06,0.205,0.193,74.59,3.6666666666666665,311.0,76.0,0.786,4.067085953878407,iranian,12,0
53,Goodbye (feat. Xillions),155.492,False,53,le Shuuk;Xillions,Goodbye (feat. Xillions),0.689,0.801,1,-4.501,0.0,0.122,0.0359,0.000547,0.0743,0.514,142.062,4.0,362.0,91.0,0.5017450276802866,2.36741214057508,techno,19,0
54,Summer Wages,269.493,False,21,J.D. Crowe & The New South,J.D. Crowe & the New South,0.585,0.184,11,-14.493,1.0,0.0313,0.696,0.000177,0.177,0.509,128.61,4.0,568.0,141.0,0.47139440173476893,0.7481162540365985,bluegrass,2,0
55,E.C.T. - Ao Vivo,210.599,False,44,Cássia Eller,Acústico (Ao Vivo),0.666,0.896,7,-8.386,1.0,0.12,0.67,2.99e-06,0.149,0.633,130.093,4.0,455.0,114.0,0.535085910325392,4.067085953878407,brazil,3,0
56,American Car,279.293,False,17,Keller Williams with The Travelin' McCourys,Pick,0.593,0.584,2,-6.916,1.0,0.0269,0.577,0.00228,0.203,0.665,96.017,4.0,439.0,109.0,0.4945208943979924,3.70048309178744,bluegrass,2,0
57,Blow the Man Down,117.906,False,42,Mickey Mouse;The Gooey Fish,Mickey Mouse Clubhouse,0.725,0.552,2,-9.03,1.0,0.027,0.321,0.0,0.101,0.975,97.624,1.0,186.0,46.0,0.46716121981346037,3.70048309178744,disney,6,0
58,Beaks of Eagles,271.974,False,11,Kelpe,Fourth: The Golden Eagle,0.615,0.517,10,-9.227,0.0,0.0425,0.0907,0.729,0.183,0.644,95.08,4.0,422.0,107.0,0.48703865313418804,0.7573891625615764,idm,9,0
59,Down 4 U - Extended Version; 2017 Remaster,507.832,False,7,Romanthony,Glasgow Underground 1997-2017,0.885,0.592,5,-6.898,0.0,0.0599,0.000285,0.0934,0.0555,0.708,128.389,4.0,1087.0,273.0,0.4849750754628149,1.2793053545586106,chicago-house,5,0
60,For Those Tears I Died,181.76,False,37,The Isaacs,The Living Years,0.422,0.117,11,-13.659,1.0,0.0315,0.901,0.0,0.0546,0.231,77.202,4.0,225.0,56.0,0.4667041661486828,0.7481162540365985,bluegrass,2,0
62,Filmes e Histórias,229.053,False,46,Pablo,Um Novo Passo,0.649,0.567,1,-5.726,1.0,0.0314,0.316,0.0,0.397,0.635,131.91,4.0,503.0,127.0,0.47630630859992107,2.36741214057508,forro,7,0
63,Dignity,314.183,False,2,Kahtmayan,Resurrection 1,0.602,0.954,6,-4.389,1.0,0.043,0.000487,0.000916,0.363,0.185,119.961,4.0,619.0,155.0,0.49604274542961874,1.1709531013615733,iranian,12,0
64,Dance Wit U,198.93,False,21,CIRRRCLE,BESTY,0.763,0.623,10,-5.971,0.0,0.285,0.0653,0.0,0.0282,0.8,105.963,4.0,348.0,86.0,0.5198103985241959,0.7573891625615764,j-dance,13,0
65,Falling Time,427.973,False,6,Alphaxone,Dystopian Gate,0.106,0.233,1,-23.622,1.0,0.0391,0.843,0.876,0.141,0.0388,82.33,3.0,696.0,231.0,0.4236698100147887,2.36741214057508,iranian,12,0
66,Stupid MF,144.986,False,53,Mindless Self Indulgence,You'll Rebel To Anything (Expanded and Remastered),0.704,0.726,0,-5.05,0.0,0.128,0.00698,0.0151,0.167,0.726,151.972,4.0,364.0,90.0,0.4993248828103677,3.349056603773585,industrial,11,0
67,與海無關 (《比悲傷更悲傷的故事》影集版插曲),245.231,False,52,告五人,運氣來得若有似無,0.654,0.227,2,-12.619,1.0,0.0298,0.906,2.14e-05,0.091,0.373,78.155,4.0,313.0,78.0,0.4811141975097091,3.70048309178744,mandopop,15,0
68,Het barsten begint,82.746,False,18,Germaine Franco,Encanto (Originele Nederlandstalige Soundtrack),0.198,0.483,1,-14.552,1.0,0.0506,0.831,0.927,0.0979,0.234,76.592,3.0,101.0,32.0,0.889,2.36741214057508,disney,6,0
69,Helligdom Av Døde,377.217,False,11,Khold,Svartsyn,0.468,0.661,2,-13.254,1.0,0.0406,7.77e-05,0.000738,0.0564,0.282,127.906,4.0,793.0,198.0,0.46129502509097686,3.70048309178744,black-metal,1,0
70,A System Of Mirrors,459.389,False,8,Robert Hood,Mirror Man,0.685,0.697,10,-12.305,0.0,0.0373,8.41e-06,0.896,0.069,0.148,129.999,4.0,966.0,241.0,0.5000737209636125,0.7573891625615764,chicago-house,5,0
71,ラッキー7,194.92,False,26,Flower,Hitomi No Oku No Milkyway,0.674,0.914,7,-3.311,1.0,0.0467,0.016,0.0,0.0402,0.778,93.003,4.0,293.0,73.0,0.5058204719932518,4.067085953878407,j-idol,14,0
72,Snart blir jeg majestet,171.6,False,41,Eirik Espolin Johnson;Pernille Sommerfeldt;Anders Hatlo,The Lion King: Special Edition Original Soundtrack (Norwegian Version),0.629,0.753,6,-8.356,1.0,0.0753,0.261,9.5e-06,0.0898,0.843,98.887,4.0,276.0,69.0,0.48197400809020086,1.1709531013615733,disney,6,0
73,Tell Me If Yuh Like It,186.666,True,22,Vybz Kartel,Tell Me If Yuh Like It,0.65,0.739,4,-4.554,0.0,0.338,0.0423,0.0,0.075,0.331,114.966,5.0,354.0,87.0,0.972,0.916010498687664,j-dance,13,1
74,Dull Boy,255.32,False,32,Mudvayne,"By The People, For The People",0.598,0.953,2,-4.487,0.0,0.193,0.00148,2.3e-06,0.23,0.312,142.97,4.0,581.0,145.0,0.5220117032407947,3.70048309178744,industrial,11,0
75,Atomic Ever After,183.139,False,40,Kid Travis,Strawberry Skies,0.748,0.356,6,-13.473,1.0,0.176,0.205,0.0,0.0917,0.59,137.641,4.0,415.0,105.0,0.4781008493898894,1.1709531013615733,study,18,0
76,River of Grace,232.653,False,48,Christy Nockels,Be Held : Lullabies for the Beloved,0.521,0.396,11,-10.654,1.0,0.0468,0.828,0.000766,0.1,0.398,77.046,4.0,291.0,72.0,0.4927994903712395,0.7481162540365985,brazil,3,0
77,Dooms Day,227.056,False,8,Arsames,Immortal Identity,0.456,0.992,7,-3.817,0.0,0.139,7.98e-06,0.695,0.333,0.416,165.012,4.0,611.0,153.0,0.106,4.067085953878407,iranian,12,0
78,"Zicke Zacke, Prost ihr Säcke",170.042,False,22,Jack Gelee,"Zicke Zacke, Prost ihr Säcke",0.71,0.998,8,-1.898,1.0,0.304,0.0221,0.0,0.529,0.712,140.089,4.0,391.0,97.0,0.415,2.7259036144578315,happy,8,0
79,Sick Of It All,301.383,False,24,Nosferatu;Evil Activities,Strength,0.596,0.997,6,-3.259,0.0,0.18,0.23,0.00349,0.584,0.15,169.968,4.0,847.0,212.0,0.5239552637611598,1.1709531013615733,happy,8,0
80,Aropador,240.026,False,22,Plastilina Mosh,Juan Manuel,0.783,0.506,2,-14.552,1.0,0.0651,0.952,0.918,0.0676,0.397,117.147,4.0,461.0,115.0,0.5223941591683553,3.70048309178744,afrobeat,0,0
81,The Sicarii,222.88,False,1,Ninkharsag,Blood Of Celestial Kings,0.172,0.951,6,-5.129,0.0,0.0992,0.0,0.886,0.115,0.197,122.02,4.0,447.0,111.0,0.5078318071750698,1.1709531013615733,black-metal,1,0
82,Daar zijn we weer!,238.228,True,17,Nosferatu;Neophyte,Harmony Of Hardcore 2016,0.599,0.976,4,-4.478,0.0,0.144,0.181,0.00197,0.303,0.259,100.023,4.0,395.0,98.0,0.869,0.916010498687664,happy,8,1
83,deep cracks,113.684,False,33,fogdream,deep cracks,0.763,0.368,5,-13.875,0.0,0.0892,0.29,0.861,0.102,0.665,75.993,4.0,141.0,35.0,0.4650212311180611,1.2793053545586106,study,18,0
84,WKND,264.768,False,16,Camo & Krooked,Zeitgeist,0.612,0.68,9,-5.608,0.0,0.184,0.00075,0.681,0.134,0.439,173.974,4.0,766.0,193.0,0.5228769929181025,1.343558282208589,industrial,11,0
85,Offering,222.106,False,31,The Avett Brothers,A Carolina Jubilee,0.342,0.442,7,-7.312,1.0,0.0294,0.24,0.00412,0.107,0.195,88.496,4.0,325.0,81.0,0.4766710017162137,4.067085953878407,bluegrass,2,0
86,Hondo,98.384,False,15,Flamman & Abraxas,Hondo,0.597,0.928,3,-8.626,0.0,0.034,0.000821,0.798,0.308,0.843,139.084,4.0,223.0,55.0,0.49151697166727715,1.7389162561576357,techno,19,0
87,Tum Mile,343.786,False,70,Pritam;Neeraj Shridhar,Tum Mile (Original Motion Picture Soundtrack),0.738,0.798,0,-6.663,1.0,0.0334,0.32,5.15e-06,0.31,0.793,123.01,4.0,695.0,174.0,0.49194436505407413,3.349056603773585,indian,10,0
88,イエローライト,274.466,False,17,Shiritsu Ebisu Chugaku,私立恵比寿中学,0.459,0.856,8,-4.676,1.0,0.0491,0.0138,1.3e-06,0.0261,0.645,168.171,4.0,749.0,188.0,0.49902935394218617,2.7259036144578315,j-idol,14,0
89,Aaoge jab tum o sajna unplugged,101.615,False,5,Nitin Shukla,Aaoge jab tum o sajna unplugged,0.501,0.0664,7,-20.161,1.0,0.0332,0.983,0.00057,0.123,0.547,94.04,3.6666666666666665,158.0,39.0,0.4509492433232818,4.067085953878407,indian,10,0
90,Dendrofil for Yggdrasil,340.08,False,4,Kvelertak,Nattesferd,0.104,0.964,9,-5.325,0.0,0.0864,9.91e-06,0.57,0.525,0.126,158.191,4.0,882.0,222.0,0.4960988707855939,1.343558282208589,black-metal,1,0
91,Hermosa,210.088,False,1,Timothy Infinite,Suave,0.763,0.858,0,-5.413,1.0,0.0496,0.218,0.873,0.103,0.284,101.982,4.0,354.0,88.0,0.5178344172780626,3.349056603773585,study,18,0
92,Forest Green,189.434,False,34,Kyson,Forest Green / Have My Back,0.616,0.314,6,-11.98,1.0,0.0426,0.472,0.0999,0.112,0.0924,104.026,4.0,319.0,78.0,0.47071955674652716,1.1709531013615733,idm,9,0
93,Big Brother,307.932,True,21,Mushroomhead,Superbuick,0.323,0.902,9,-6.034,1.0,0.11,0.000528,0.00663,0.161,0.407,147.309,4.0,733.0,184.0,0.49669289468243427,1.343558282208589,industrial,11,1
94,Dhoom Machale Dhoom,235.624,False,53,Pritam;Aditi Singh Sharma;Sameer Anjaan,Dhoom:3,0.7,0.899,1,-8.262,1.0,0.117,0.096,1.38e-05,0.327,0.674,109.994,4.0,429.0,107.0,0.4879090670672748,2.36741214057508,indian,10,0
95,Confide,268.378,False,34,Technimatic;A Little Sound,Confide,0.285,0.867,10,-3.65,0.0,0.0465,0.0101,0.000269,0.0887,0.0378,173.818,4.0,752.0,189.0,0.49826399858941095,0.7573891625615764,idm,9,0
96,Rockit,155.653,False,23,Bad Boy Bill,The Album,0.866,0.574,7,-7.836,1.0,0.0649,0.00108,0.443,0.0406,0.602,127.951,4.0,328.0,81.0,0.5051636358425615,4.067085953878407,chicago-house,5,0
97,My Promiscuous Daughter,196.96,False,28,CKY,"Camp Kill Yourself, Vol.1",0.263,0.767,7,-10.161,1.0,0.0525,0.00696,0.478,0.356,0.308,125.995,4.0,410.0,103.0,0.483077375645514,4.067085953878407,industrial,11,0
98,Are You Ready (ft. Capital J),171.789,False,14,Bassnectar;Capital J,Cozza Frenzy,0.471,0.731,1,-6.222,1.0,0.0921,0.000248,0.731,0.195,0.667,94.511,4.0,256.0,63.0,0.4837641556092967,2.36741214057508,breakbeat,4,0
99,Graveyard Slut,243.626,True,19,Darkthrone,The Cult is Alive,0.0658,0.993,9,-2.484,1.0,0.164,0.000697,0.217,0.317,0.107,199.986,4.0,722.0,180.0,0.529448591544827,1.343558282208589,black-metal,1,1
100,Too Close To Hate,288.333,False,24,Sevendust,Sevendust,0.646,0.809,4,-9.072,0.0,0.0745,0.000264,0.00109,0.207,0.39,92.5,4.0,444.0,110.0,0.4777816420943266,0.916010498687664,industrial,11,0
102,Their Law,400.733,True,48,The Prodigy,Music for the Jilted Generation,0.638,0.962,7,-8.468,1.0,0.0541,0.00223,0.716,0.309,0.562,119.081,4.0,791.0,197.0,0.5175392930690617,4.067085953878407,breakbeat,4,1
103,Amores de barra,194.666,False,29,Ella Baila Sola,Grandes Éxitos: Ella Baila Sola,0.604,0.827,7,-6.99,1.0,0.155,0.443,2.46e-06,0.201,0.315,172.065,4.0,543.0,135.0,0.738,4.067085953878407,spanish,17,0
104,Mehman,270.937,False,24,Anupam Roy,Mehman,0.603,0.783,6,-6.012,1.0,0.0486,0.131,4.16e-05,0.234,0.703,127.981,4.0,571.0,141.0,0.48700067728880203,1.1709531013615733,indian,10,0
105,BALD! REMIX,153.127,True,48,JPEGMAFIA;Denzel Curry,BALD! REMIX,0.721,0.949,1,0.402,1.0,0.31,0.181,0.0,0.646,0.705,155.015,4.0,394.0,100.0,0.546762927847705,2.36741214057508,industrial,11,1
106,Be Kind,247.433,False,33,Rival Consoles,Persona,0.507,0.343,10,-20.092,0.0,0.0405,0.959,0.93,0.102,0.45,154.096,4.0,620.0,153.0,0.49609700771452214,0.7573891625615764,idm,9,0
107,"Safar (From ""Jab Harry Met Sejal"")",365.669,False,50,Pritam;Arijit Singh,"Safar (From ""Jab Harry Met Sejal"")",0.307,0.604,7,-5.592,1.0,0.0397,0.593,3.79e-06,0.0789,0.452,85.641,5.0,652.0,165.0,0.49694344516264094,4.067085953878407,indian,10,0
108,期待,282.84,False,26,王瑞霞,"鄉城台語精選, Vol. 1",0.318,0.645,0,-10.555,1.0,0.0536,0.128,0.0,0.0825,0.483,74.127,4.0,338.0,84.0,0.4613936152067314,3.349056603773585,mandopop,15,0
110,勉強の歌 - 2012 Remaster,280.026,False,23,Chisato Moritaka,ザ・シングルス 1987-1992 (2012 Remaster),0.671,0.968,9,-5.591,1.0,0.038,0.0841,8.61e-05,0.642,0.963,129.901,4.0,595.0,148.0,0.4930779670913066,1.343558282208589,j-idol,14,0
111,Stukas im Visier,332.786,False,30,Feindflug,Feindflug (Vierte Version),0.594,0.999,4,-0.527,0.0,0.0929,0.00654,0.932,0.311,0.111,139.904,4.0,773.0,195.0,0.5287928847262162,0.916010498687664,industrial,11,0
112,"Ponyo on the Cliff By the Sea (from ""Ponyo on the Cliff By the Sea"")",87.931,False,22,David Healer,Studio Ghibli Piano Lullaby,0.641,0.289,5,-19.692,1.0,0.0484,0.985,0.954,0.104,0.63,116.011,4.0,169.0,41.0,0.4817479256362831,1.2793053545586106,disney,6,0
113,Fried Banana 2018,279.8,False,11,OSAMU SATO,LSD REVAMPED,0.56,0.886,9,-8.416,0.0,0.0456,0.107,0.833,0.0795,0.964,120.005,4.0,549.0,137.0,0.5066643745148417,1.343558282208589,idm,9,0
114,Mi Chaqueta de Cuero,175.177,True,42,C.R.O,C.R.O - Mdbcrew Vol 2,0.735,0.509,5,-8.174,1.0,0.0684,0.773,0.0484,0.0948,0.32,137.068,4.0,397.0,99.0,0.5099311837637335,1.2793053545586106,spanish,17,1
